table,rows,bytes,fetch_sec,insert_sec,ok,error
AccountingDocHeaders,20,2573,0.09917750000022352,0.023616750026121736,True,
AccountsIntegration,4,1770,0.08859912498155609,0.003054542001336813,True,
AccountStatus,3,873,0.08907795901177451,0.0029577919631265104,True,
Addons,0,0,0.0,0.0,True,
AddressLogs,362,110528,0.2245230830158107,0.0233167500118725,True,
ai_inv,2653,143359,0.2104719170019962,0.05022679199464619,True,
ai_purc,3255,176470,0.2024302079807967,0.05191475001629442,True,
aieqlist,9975,326507,0.28197712503606454,0.1210194579907693,True,
alloc,0,0,0.0,0.0,True,
AntiFraudActions,8,781,0.09293787501519546,0.014686541981063783,True,
API_Requests,3,4282,0.09190054098144174,0.006402790953870863,True,
API_Responses,2,3298,0.09863554203184322,0.005632499989587814,True,
APIs,2,188,0.09604929201304913,0.004127332998905331,True,
Audit,16513,7640576,1.8279582089744508,0.6949387500062585,True,
BatchItemDisposals,0,0,0.0,0.0,True,
BespokeSettings,178,13687,0.09409320802660659,0.007880125020164996,True,
CaseCodeReturns,0,0,0.0,0.0,True,
category,268,43579,0.10707179200835526,0.024579666962381452,True,
ClassTransfers,199,16115,0.09213883301708847,0.006382292020134628,True,
Company,835,1414748,0.39575495902681723,0.14162000000942498,True,
CompanyAntiFraud,347,72791,0.11760587501339614,0.013727083976846188,True,
CompanyPics,0,0,0.0,0.0,True,
compfilt,2,320,0.09036962501704693,0.0070968749932944775,True,
compfllk,21,953,0.08942833403125405,0.004755625035613775,True,
COMPOSIT,220,31662,0.10070979100419208,0.020937499997671694,True,
config1,2,65248,0.12770729197654873,0.010257166984956712,True,
CONTACTS,1367,316786,0.14722275000531226,0.063213707995601,True,
CorrespondenceTypes,5,400,0.08756433299276978,0.0038286250201053917,True,
Costs,826,705550,0.9718903750181198,0.08834966697031632,True,
CostsDetail,11,3447,0.0868715419783257,0.003679624991491437,True,
creditcard,0,0,0.0,0.0,True,
Crew,13534,30599120,7.21903450001264,2.0335586250294,True,
Crew_Function,8,707,0.08919029199751094,0.00290920800762251,True,
Crew_header,4392,1751247,0.44582512497436255,0.20707595901330933,True,
CrewAccommodation,0,0,0.0,0.0,True,
CrewAccommodationLkp,0,0,0.0,0.0,True,
CrewActivities,69506,9429357,2.8017570420051925,1.0278869579778984,True,
CrewAffinities,4,541,0.09717054199427366,0.00841158302500844,True,
CrewAttributes,5,731,0.09396320796804503,0.007315708964597434,True,
CrewEqlNew,435,19628,0.10954100004164502,0.016945499985013157,True,
CREWJOBS,986,100977,0.12572299997555092,0.031469125009607524,True,
CrewPeopleAttributes,8,979,0.09180433297296986,0.0038801670307293534,True,
CrewPeopleLkp,172,10915,0.10132345801685005,0.011134915985167027,True,
CrewPositionOffers,6287,1318243,0.3991554999956861,0.16612324997549877,True,
CrewPositions,12346,2271565,0.6147958330111578,0.2955552500206977,True,
CrewShifts,21802,0,20.488896124996245,0.0,False,500 Server Error: INTERNAL SERVER ERROR for url: http://100.100.139.110:5003/api/table/CrewShifts
CrewTasks,8,912,0.092760041996371,0.0066802919609472156,True,
CREWTYPE,32,34813,0.10873829200863838,0.009198374988045543,True,
crmActivities,2,966,0.09026100003393367,0.0041671660146676,True,
crmActivityPriority,5,282,0.09722879203036427,0.004000708053354174,True,
crmActivityStatus,4,337,0.09853520797332749,0.004994583025109023,True,
crmActivityTypes,4,233,0.0978507089894265,0.010430624999571592,True,
crmCampaign,0,0,0.0,0.0,True,
crmLeads,11,5063,0.09153658396098763,0.006654999975580722,True,
crmLeadSource,4,229,0.08843004197115079,0.005730292003136128,True,
crmLeadStatus,7,657,0.09916333301225677,0.005110458005219698,True,
crmLeadType,1,122,0.1048814170062542,0.005200791987590492,True,
CRMUsers,1,219,0.0905382499913685,0.004904000030364841,True,
CURRENCY,4,1624,0.09689029102446511,0.004838833003304899,True,
defcon,10,1489,0.09553024999331683,0.006748083978891373,True,
Departments,2,165,0.09563933400204405,0.007217540987767279,True,
depreciate,5,865,0.09545779100153595,0.0037921250332146883,True,
Diary,3,1691,0.09910875000059605,0.007582833000924438,True,
DiaryCategories,10,871,0.09031991701340303,0.018065250013023615,True,
DiaryUsers,2,297,0.10461124998982996,0.0054142080480232835,True,
DocumentFolders,2,388,0.0944955000304617,0.0063965420122258365,True,
Documents,4778,3495246,0.8332197919953614,0.30608387500979006,True,
DocumentTypes,0,0,0.0,0.0,True,
Email_Ignores,1,239,0.11718674999428913,0.0032168339821510017,True,
Email_IMAP,10,3915,0.10202520899474621,0.007368457969278097,True,
Email_IncomingFolders,14,1513,0.11060316598741338,0.005906333972234279,True,
Email_IncomingMatches,1452,412710,0.16860308300238103,0.07163608400151134,True,
Email_IncomingRecipients,3754,344856,0.1773665000218898,0.09040408302098513,True,
Email_IncomingUsers,6338,327448,0.20484929200029,0.10618020797846839,True,
EMAIL_UID,6814,380861,0.23216116696130484,0.11962212499929592,True,
EmailAddressWarehouse,950,319271,0.13553329202113673,0.052050583995878696,True,
EmailRecipients,5239,981627,0.3111269170185551,0.13175025000236928,True,
EmailSentLog,3985,833751,0.29366137500619516,0.1667677920195274,True,
EmailSentMessages,4581,5064014,0.9714049579924904,0.2745241249795072,True,
EmailTemplates,2,4473,0.09265008295187727,0.0058705839910544455,True,
EmailTemplatesRecipients,1,365,0.10013420897303149,0.004701291036326438,True,
EmailTemplateUsers,6,371,0.08737662498606369,0.020744999987073243,True,
EqlistMarkUps,0,0,0.0,0.0,True,
EQLISTS,8889,19361207,3.0134040839620866,1.4267539999564178,True,
EqSectionCategories,0,0,0.0,0.0,True,
EqSections,13472,2392297,0.6244789579650387,0.2971614580019377,True,
ext_company,1670,766303,0.19405041600111872,0.06415287498384714,True,
Ext_PriceMode,1855,161072,0.16214475000742823,0.04661670798668638,True,
Ext_PriceModeLkp,4,524,0.08798408298753202,0.002836375031620264,True,
EXT_TAX,1,280,0.08577383297961205,0.004275290993973613,True,
extern,365,54254,0.11339654203038663,0.030610415968112648,True,
ExternalNumbers,0,0,0.0,0.0,True,
FeatureCollections,6,334,0.09650970797520131,0.0038629170157946646,True,
FeatureCollectionsLkp,457,35279,0.09931254101684317,0.018167584028560668,True,
Features,135,13298,0.10837599996011704,0.009370416984893382,True,
filters,2,335,0.08962545800022781,0.00471825001295656,True,
filtlook,89,3559,0.0964473340427503,0.02004241698887199,True,
FreeText,3636,368302,0.16083145898301154,0.06278000003658235,True,
GlobalDispatch,1,336,0.08643450000090525,0.006513500004075468,True,
GlobalDispatchJobs,2,352,0.08705141698010266,0.004403999948408455,True,
GlobalDispatchLoadPreps,0,0,0.0,0.0,True,
GlobalDispatchLoads,1,298,0.08990891696885228,0.0024117500288411975,True,
GlobalReturnsHeader,2168,346569,0.172925041988492,0.07133270800113678,True,
Hetype,2280,4170949,0.8307136250077747,0.38276150001911446,True,
hiretrack_version,1,451,0.08596941601717845,0.003622375021222979,True,
I_MASTER,0,0,0.0,0.0,True,
ImageTypes,6,986,0.08548741601407528,0.0044237919501028955,True,
INT_AccountsExport,22,3444,0.09654175001196563,0.004045042034704238,True,
INT_FinancialHistory,0,0,0.0,0.0,True,
INVDATA,141442,74842076,16.932005874987226,5.725044499966316,True,
InventoryLogs,0,0,0.0,0.0,True,
Invoice,2653,6039236,1.3302387499716133,0.565369791991543,True,
