table,rows,bytes,fetch_sec,insert_sec,ok,error
AccountingDocHeaders,20,2573,0.10260295798070729,0.005926417012233287,True,
AccountsIntegration,4,1770,0.09185416699619964,0.0034263329580426216,True,
AccountStatus,3,873,0.08983199996873736,0.0053102909587323666,True,
Addons,0,0,0.0,0.0,True,
AddressLogs,362,110528,0.2163812500075437,0.022668000019621104,True,
ai_inv,2653,143359,0.18392237497027963,0.05011354200541973,True,
ai_purc,3255,176470,0.21713791700312868,0.0638795830309391,True,
aieqlist,9975,326507,0.2596672079525888,0.12187366699799895,True,
alloc,0,0,0.0,0.0,True,
AntiFraudActions,8,781,0.0906221250188537,0.004559124994557351,True,
API_Requests,3,4282,0.10096525005064905,0.014512582973111421,True,
API_Responses,2,3298,0.09880133299157023,0.018723957997281104,True,
APIs,2,188,0.09349929098971188,0.0036968750064261258,True,
Audit,16513,7640576,1.88444629102014,0.7473685840377584,True,
BatchItemDisposals,0,0,0.0,0.0,True,
BespokeSettings,178,13687,0.09895529202185571,0.011546500027179718,True,
CaseCodeReturns,0,0,0.0,0.0,True,
category,268,43579,0.10169745801249519,0.01726933295140043,True,
ClassTransfers,199,16115,0.09265416697598994,0.010395332996267825,True,
Company,835,1414748,0.38782308402005583,0.13071791600668803,True,
CompanyAntiFraud,347,72791,0.10612691700225696,0.016485625004861504,True,
CompanyPics,0,0,0.0,0.0,True,
compfilt,2,320,0.09254787495592609,0.004060957988258451,True,
compfllk,21,953,0.1061513340100646,0.0038974169874563813,True,
COMPOSIT,220,31662,0.09972974995616823,0.011350125016178936,True,
config1,2,65248,0.11664191703312099,0.023274292005226016,True,
CONTACTS,1367,316786,0.1679103330243379,0.06348133296705782,True,
CorrespondenceTypes,5,400,0.10616929101524875,0.003800167003646493,True,
Costs,826,705550,0.20960591605398804,0.10064141696784645,True,
CostsDetail,11,3447,0.09208395797759295,0.008319041051436216,True,
creditcard,0,0,0.0,0.0,True,
Crew,13534,30599120,6.0317094580386765,1.9940590829937719,True,
Crew_Function,8,707,0.11038500000722706,0.007350082974880934,True,
Crew_header,4392,1751247,0.4692574589862488,0.20983762497780845,True,
CrewAccommodation,0,0,0.0,0.0,True,
CrewAccommodationLkp,0,0,0.0,0.0,True,
CrewActivities,69506,9429357,2.5998200409812853,1.0406710839597508,True,
CrewAffinities,4,541,0.09169349999865517,0.004215042048599571,True,
CrewAttributes,5,731,0.09835391695378348,0.00455541699193418,True,
CrewEqlNew,435,19628,0.09697112505091354,0.01662187505280599,True,
CREWJOBS,986,100977,0.11805195803754032,0.0339307080139406,True,
CrewPeopleAttributes,8,979,0.0879105829517357,0.005344874982256442,True,
CrewPeopleLkp,172,10915,0.09381704102270305,0.01084466598695144,True,
CrewPositionOffers,6287,1318243,0.3181730000069365,0.18585091701243073,True,
CrewPositions,12346,2271565,0.5618890000041574,0.27727241697721183,True,
CrewShifts,21802,17693839,2.8232281249947846,1.2256972499890253,True,
CrewTasks,8,912,0.09060779103310779,0.0038553749909624457,True,
CREWTYPE,32,34813,0.1067220420227386,0.010131874994840473,True,
